loss,accuracy,val_loss,val_accuracy
0.3879168629646301,0.8199921250343323,0.2740713357925415,0.8992063403129578
0.16484463214874268,0.9414432048797607,0.17286831140518188,0.9317460060119629
0.09816628694534302,0.965496838092804,0.14556196331977844,0.9476190209388733
0.055842090398073196,0.9800867438316345,0.16292704641819,0.9444444179534912
0.04715654253959656,0.9844242930412292,0.1515226811170578,0.9507936239242554
0.029537035152316093,0.9901419281959534,0.2148209661245346,0.9515873193740845
0.025637714192271233,0.9925078749656677,0.20329424738883972,0.9507936239242554
0.02171838842332363,0.9923107028007507,0.1911589801311493,0.9547619223594666
0.016015224158763885,0.9936908483505249,0.19615045189857483,0.9555555582046509
0.013794018886983395,0.9962539672851562,0.23140697181224823,0.949999988079071
