accuracy,loss,Epoch
0.5676940679550171,0.6839576959609985,1
0.675407886505127,0.6578587889671326,2
0.7625369429588318,0.6149846315383911,3
0.8166265487670898,0.5509442687034607,4
0.8526223301887512,0.4703143835067749,5
0.8693200349807739,0.4013088047504425,6
0.8804336190223694,0.3530547618865967,7
0.8870031833648682,0.32168281078338623,8
0.8950783014297485,0.2948136031627655,9
0.8974597454071045,0.28148338198661804,10
0.9037829637527466,0.2662462294101715,11
0.9070677757263184,0.2563289999961853,12
0.9110369086265564,0.24538244307041168,13
0.9171684980392456,0.23265144228935242,14
0.9172506332397461,0.22964003682136536,15
0.9213839769363403,0.2178688645362854,16
0.9231632351875305,0.21046200394630432,17
0.9245319366455078,0.20624195039272308,18
0.9281999468803406,0.19923268258571625,19
0.9303624033927917,0.19173048436641693,20
0.9324701428413391,0.18771639466285706,21
0.934660017490387,0.18076805770397186,22
0.9366856217384338,0.1772174835205078,23
0.9379174709320068,0.17384400963783264,24
0.9410380125045776,0.16403409838676453,25
0.942598283290863,0.16166935861110687,26
0.9447607398033142,0.15778526663780212,27
0.9462389349937439,0.1501452773809433,28
0.9465126395225525,0.1486811339855194,29
0.9504544138908386,0.1404799073934555,30
0.9498521685600281,0.14179496467113495,31
0.9524800181388855,0.13522334396839142,32
0.9538213014602661,0.1314418762922287,33
0.9523158073425293,0.13210447132587433,34
0.9562848806381226,0.12540723383426666,35
0.9573251008987427,0.12221938371658325,36
0.9587758779525757,0.11792298406362534,37
0.9598981738090515,0.11645031720399857,38
0.9624438881874084,0.10732070356607437,39
0.9621701240539551,0.10980257391929626,40
0.9641410112380981,0.10168322920799255,41
0.9655097126960754,0.09965310990810394,42
0.9671520590782166,0.09663674980401993,43
0.9670425653457642,0.0942550078034401,44
0.9683839082717896,0.09356232732534409,45
0.969779908657074,0.08837839961051941,46
0.9707927107810974,0.08587192744016647,47
0.9721614122390747,0.08340559899806976,48
0.9735848307609558,0.07914691418409348,49
0.9727909564971924,0.08043650537729263,50
