,precision,recall,f1-score,support
0,0.999128350403138,1.0,0.999563985175496,4585.0
1,1.0,0.9990630124150855,0.999531286618233,4269.0
accuracy,0.9995482267901513,0.9995482267901513,0.9995482267901513,0.9995482267901513
macro avg,0.9995641752015689,0.9995315062075427,0.9995476358968645,8854.0
weighted avg,0.9995486205780876,0.9995482267901513,0.9995482194039852,8854.0
