,precision,recall,f1-score,support
0,0.9993456924754635,0.9993456924754635,0.9993456924754635,4585.0
1,0.9992972593113141,0.9992972593113141,0.9992972593113141,4269.0
accuracy,0.999322340185227,0.999322340185227,0.999322340185227,0.999322340185227
macro avg,0.9993214758933888,0.9993214758933888,0.9993214758933888,8854.0
weighted avg,0.999322340185227,0.999322340185227,0.999322340185227,8854.0
