loss,accuracy,val_loss,val_accuracy
0.01912495121359825,0.9948538541793823,0.014694232493638992,0.9967246651649475
0.004892311524599791,0.9989598393440247,0.004176723770797253,0.9993223547935486
0.004129057750105858,0.998932421207428,0.005151784047484398,0.9992094039916992
0.0020670664962381124,0.9995620250701904,0.007230076007544994,0.9990964531898499
0.00362675660289824,0.9991788268089294,0.003871969413012266,0.9992094039916992
0.0005603242898359895,0.9998631477355957,0.002105915220454335,0.9993223547935486
0.000367531058145687,0.9999452829360962,0.012922607362270355,0.9984188079833984
0.0034227168653160334,0.9993703961372375,0.004131202585995197,0.9992094039916992
0.0010721978032961488,0.9998083710670471,0.0002582893939688802,0.9997740983963013
0.0006052799290046096,0.9999178647994995,0.006497443187981844,0.9990964531898499
