loss,accuracy,val_loss,val_accuracy
0.42516016960144043,0.8077681660652161,0.29193300008773804,0.8738095164299011
0.24433988332748413,0.909700334072113,0.2340666502714157,0.9071428775787354
0.16954168677330017,0.9375,0.1894184798002243,0.934920608997345
0.14828331768512726,0.9481467008590698,0.18158718943595886,0.934920608997345
0.11216331273317337,0.9597792029380798,0.1921774297952652,0.9317460060119629
0.08954339474439621,0.9694400429725647,0.1974494904279709,0.9357143044471741
0.06876862794160843,0.977326512336731,0.20654761791229248,0.9404761791229248
0.058897554874420166,0.9800867438316345,0.18986876308918,0.9444444179534912
0.03805151954293251,0.988564670085907,0.19651636481285095,0.9452381134033203
0.03423818200826645,0.988564670085907,0.22220762073993683,0.9428571462631226
