,precision,recall,f1-score,support
0,0.9837150127226463,0.976755937342092,0.9802231237322515,1979.0
1,0.9777777777777777,0.9844357976653697,0.9810954920019389,2056.0
accuracy,0.9806691449814127,0.9806691449814127,0.9806691449814127,0.9806691449814127
macro avg,0.980746395250212,0.9805958675037308,0.9806593078670952,4035.0
weighted avg,0.9806897450530925,0.9806691449814127,0.98066763157921,4035.0
