accuracy,loss,Epoch
0.5196266174316406,0.6949152946472168,1
0.5226103067398071,0.6927757263183594,2
0.5280575752258301,0.6907659769058228,3
0.5371454954147339,0.6884050369262695,4
0.5419084429740906,0.6866227984428406,5
0.5460418462753296,0.6845271587371826,6
0.5511606335639954,0.682977557182312,7
0.5537337064743042,0.6813085079193115,8
0.5573195815086365,0.6793730854988098,9
0.5578396916389465,0.6783437132835388,10
0.5648746490478516,0.6757290959358215,11
0.5678035616874695,0.6737721562385559,12
0.5688163638114929,0.6713760495185852,13
0.5713620781898499,0.6700515747070312,14
0.5728676319122314,0.6686577796936035,15
0.5745373964309692,0.6663777232170105,16
0.5764261484146118,0.664980947971344,17
0.5799573063850403,0.6621015667915344,18
0.5830231308937073,0.6602970361709595,19
0.5833241939544678,0.6594097018241882,20
0.5835979580879211,0.6581117510795593,21
0.5842275023460388,0.6570936441421509,22
0.588525116443634,0.6545796394348145,23
0.5896748304367065,0.6528106927871704,24
0.5901675224304199,0.6517457962036133,25
0.5937533974647522,0.6505801677703857,26
0.5943830013275146,0.6497102975845337,27
0.5964633822441101,0.6474698781967163,28
0.5990912318229675,0.6448598504066467,29
0.6002135276794434,0.6451089978218079,30
0.6015274524688721,0.6433967351913452,31
0.6007609963417053,0.6435108184814453,32
0.603388786315918,0.6417547464370728,33
0.605523943901062,0.6394290924072266,34
0.6073032021522522,0.6388126015663147,35
0.6069199442863464,0.6372689604759216,36
0.6105605959892273,0.6357705593109131,37
0.614392876625061,0.6340347528457642,38
0.6146118640899658,0.6321139931678772,39
0.6167469620704651,0.6311363577842712,40
0.6192378997802734,0.6293920278549194,41
0.6227690577507019,0.6268036365509033,42
0.6245483160018921,0.6252581477165222,43
0.6258896589279175,0.6241887211799622,44
0.6277509927749634,0.6211783289909363,45
0.6319664716720581,0.6185542941093445,46
0.6339373588562012,0.6177051067352295,47
0.6374958753585815,0.614520251750946,48
0.6403153538703918,0.6136743426322937,49
0.6458447575569153,0.6079828143119812,50
