,precision,recall,f1-score,support
0,0.9842158859470469,0.976755937342092,0.9804717220390565,1979.0
1,0.9777885079671657,0.9849221789883269,0.9813423794523869,2056.0
accuracy,0.98091697645601,0.98091697645601,0.98091697645601,0.98091697645601
macro avg,0.9810021969571063,0.9808390581652094,0.9809070507457217,4035.0
weighted avg,0.9809408700544482,0.98091697645601,0.9809153581336804,4035.0
