,precision,recall,f1-score,support
0,0.9928741092636579,0.9288888888888889,0.9598163030998852,450.0
1,0.9151193633952255,0.9913793103448276,0.9517241379310345,348.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.9539967363294417,0.9601340996168582,0.9557702205154599,798.0
weighted avg,0.9589660245992288,0.956140350877193,0.9562873889661007,798.0
