,precision,recall,f1-score,support
0,0.9230769230769231,0.96,0.9411764705882353,625.0
1,0.9590163934426229,0.9212598425196851,0.9397590361445783,635.0
accuracy,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9404761904761905
macro avg,0.941046658259773,0.9406299212598426,0.9404677533664068,1260.0
weighted avg,0.9411892752056686,0.9404761904761905,0.9404621286265511,1260.0
