loss,accuracy,val_loss,val_accuracy
0.35544830560684204,0.8369479775428772,0.24673117697238922,0.9095237851142883
0.16142646968364716,0.9424290060997009,0.16593687236309052,0.938095211982727
0.09027736634016037,0.9708201885223389,0.2741027772426605,0.9095237851142883
0.05937444046139717,0.9787065982818604,0.15585578978061676,0.9412698149681091
0.03830666467547417,0.9858044385910034,0.1591450273990631,0.9515873193740845
0.025354523211717606,0.9919164180755615,0.2517743408679962,0.9404761791229248
0.021702613681554794,0.9936908483505249,0.18990828096866608,0.9523809552192688
0.016528761014342308,0.9936908483505249,0.2108544558286667,0.9531745910644531
0.0187192615121603,0.9936908483505249,0.17796166241168976,0.949999988079071
0.009382246062159538,0.9966482520103455,0.26696309447288513,0.9404761791229248
