accuracy,loss,Epoch
0.5535928010940552,0.6838120818138123,1
0.6194610595703125,0.6667556762695312,2
0.6473053693771362,0.6517993211746216,3
0.6508982181549072,0.636719822883606,4
0.6829341053962708,0.6148072481155396,5
0.714970052242279,0.5841776132583618,6
0.7296407222747803,0.5566239356994629,7
0.7553892135620117,0.5279512405395508,8
0.768862247467041,0.501574695110321,9
0.7865269184112549,0.47831153869628906,10
0.7892215847969055,0.4652463495731354,11
0.7982035875320435,0.4427652359008789,12
0.8089820146560669,0.43310868740081787,13
0.8122754693031311,0.4226885139942169,14
0.821257472038269,0.410431832075119,15
0.8254491090774536,0.4101427495479584,16
0.8290418982505798,0.4005829095840454,17
0.841317355632782,0.38690781593322754,18
0.8314371109008789,0.3919716477394104,19
0.844910204410553,0.37313395738601685,20
0.8511976003646851,0.3700929284095764,21
0.8392215371131897,0.3736156225204468,22
0.848802387714386,0.35347434878349304,23
0.8520957827568054,0.3589005470275879,24
0.8601796627044678,0.3484930992126465,25
0.8646706342697144,0.3404395878314972,26
0.8574850559234619,0.3440125286579132,27
0.8652694821357727,0.3279458284378052,28
0.8703593015670776,0.32430049777030945,29
0.8628742694854736,0.32770055532455444,30
0.8778443336486816,0.3123916685581207,31
0.8742514848709106,0.3096000850200653,32
0.8778443336486816,0.304952472448349,33
0.8841317296028137,0.2947029769420624,34
0.8844311237335205,0.29013755917549133,35
0.8844311237335205,0.2921271324157715,36
0.8889221549034119,0.2691422402858734,37
0.8913173675537109,0.2749837338924408,38
0.8967065811157227,0.27297550439834595,39
0.8922155499458313,0.2750789225101471,40
