loss,accuracy,val_loss,val_accuracy
0.24665601551532745,0.8912050724029541,0.10304143279790878,0.9630731344223022
0.0786464586853981,0.9727261662483215,0.0719413086771965,0.9781908392906189
0.05574075132608414,0.9811967015266418,0.06922866404056549,0.978438675403595
0.034746937453746796,0.9881653189659119,0.060847606509923935,0.981164813041687
0.027786150574684143,0.9905082583427429,0.05760589987039566,0.9833952784538269
0.01911596767604351,0.993511974811554,0.06312314420938492,0.9843866229057312
0.01431301049888134,0.9952540993690491,0.07855803519487381,0.9796777963638306
0.012487444095313549,0.996035099029541,0.06899520754814148,0.9828996062278748
0.00989554077386856,0.996515691280365,0.08078764379024506,0.9801734685897827
0.006600775755941868,0.9980175495147705,0.06515990942716599,0.9846344590187073
