,precision,recall,f1-score,support
0,0.9703703703703703,0.9929257200606367,0.9815184815184815,1979.0
1,0.9930348258706467,0.9708171206225681,0.9818002951303492,2056.0
accuracy,0.9816604708798017,0.9816604708798017,0.9816604708798017,0.9816604708798017
macro avg,0.9817025981205085,0.9818714203416024,0.9816593883244153,4035.0
weighted avg,0.9819188512894703,0.9816604708798017,0.9816620772523105,4035.0
