loss,accuracy,val_loss,val_accuracy
0.4628634750843048,0.7805599570274353,0.36473721265792847,0.8420634865760803
0.29113438725471497,0.8870267868041992,0.2569882869720459,0.8984127044677734
0.20470918715000153,0.9266561269760132,0.2448192834854126,0.9079365134239197
0.15437519550323486,0.9463722109794617,0.2094520926475525,0.9230158925056458
0.12132024765014648,0.9578076004981995,0.196266308426857,0.9317460060119629
0.10325517505407333,0.9670741558074951,0.19250281155109406,0.9301587343215942
0.07969844341278076,0.9741719365119934,0.20524238049983978,0.9293650984764099
0.06532125174999237,0.9789037704467773,0.21301284432411194,0.9309523701667786
0.04989320784807205,0.9856072664260864,0.2324044108390808,0.9309523701667786
0.039230573922395706,0.9899448156356812,0.2503208816051483,0.9293650984764099
