topic,Fake_Count,Real_Count,Total_Count,Fake_Percentage
7,93,0,93,100.0
2,269,5,274,98.18
5,108,2,110,98.18
1,267,24,291,91.75
4,108,21,129,83.72
6,72,36,108,66.67
0,680,1325,2005,33.92
3,17,163,180,9.44
8,4,76,80,5.0
