loss,accuracy,val_loss,val_accuracy
0.3263742923736572,0.8491017818450928,0.1794644296169281,0.9360902309417725
0.08602521568536758,0.9691616892814636,0.07699908316135406,0.9774436354637146
0.03448209539055824,0.9889221787452698,0.07479503005743027,0.9786967635154724
0.02557212859392166,0.9922155737876892,0.07207624614238739,0.981203019618988
0.016499187797307968,0.9949101805686951,0.06746445596218109,0.9824561476707458
0.007750904653221369,0.9979041814804077,0.07453428208827972,0.9799498915672302
0.00968857016414404,0.9967066049575806,0.08802887797355652,0.9786967635154724
0.003201681189239025,0.9988024234771729,0.117769755423069,0.9736841917037964
0.018552087247371674,0.9955089688301086,0.11379984766244888,0.9774436354637146
0.004655905067920685,0.9985029697418213,0.1130855605006218,0.981203019618988
