,precision,recall,f1-score,support
0,0.9794520547945206,0.9533333333333334,0.9662162162162162,450.0
1,0.9416666666666667,0.9741379310344828,0.9576271186440678,348.0
accuracy,0.9624060150375939,0.9624060150375939,0.9624060150375939,0.9624060150375939
macro avg,0.9605593607305936,0.9637356321839081,0.9619216674301421,798.0
weighted avg,0.9629742163628249,0.9624060150375939,0.9624705947185875,798.0
