loss,accuracy,val_loss,val_accuracy
0.29472699761390686,0.8738435506820679,0.13819050788879395,0.9521685242652893
0.08845493942499161,0.9690616130828857,0.08951885253190994,0.9714993834495544
0.057996101677417755,0.9800552725791931,0.07892546057701111,0.9744733572006226
0.04238000884652138,0.9864832162857056,0.06290607154369354,0.9789343476295471
0.03055979497730732,0.9899075031280518,0.05969660356640816,0.9824039936065674
0.021862784400582314,0.9929112195968628,0.05988297238945961,0.9821561574935913
0.018399519845843315,0.9941126704216003,0.056575849652290344,0.9841387867927551
0.01431597676128149,0.9950739145278931,0.05676763504743576,0.9821561574935913
0.01090647280216217,0.9967559576034546,0.056120093911886215,0.9858735799789429
0.007991529069840908,0.9973567128181458,0.05518209561705589,0.9871127605438232
