,precision,recall,f1-score,support
0,0.8928046989720999,0.9728,0.9310872894333843,625.0
1,0.9706390328151986,0.8850393700787401,0.9258649093904447,635.0
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
macro avg,0.9317218658936492,0.9289196850393701,0.9284760994119146,1260.0
weighted avg,0.9320307322977885,0.9285714285714286,0.9284553756815855,1260.0
