loss,accuracy,val_loss,val_accuracy
0.026335235685110092,0.9916785359382629,0.016789434477686882,0.9972893595695496
0.007649681530892849,0.9986313581466675,0.0034404215402901173,0.9995482563972473
0.004755737725645304,0.999069333076477,0.004106699023395777,0.9990964531898499
0.0026974063366651535,0.9993978142738342,0.003090777900069952,0.9986447095870972
0.00164834747556597,0.9996988773345947,0.0020478733349591494,0.999435305595398
0.001645999844186008,0.9995620250701904,0.0026909178122878075,0.9995482563972473
0.0018168551614508033,0.9996988773345947,0.0038753023836761713,0.9989835023880005
0.002671995898708701,0.9994798898696899,0.001679990324191749,0.9996611475944519
0.0013584723928943276,0.9997810125350952,0.004086516331881285,0.9993223547935486
0.0009049797081388533,0.9998357892036438,0.002597726881504059,0.999435305595398
