,precision,recall,f1-score,support
0,0.9887892376681614,0.98,0.984375,450.0
1,0.9744318181818182,0.985632183908046,0.98,348.0
accuracy,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
macro avg,0.9816105279249898,0.982816091954023,0.9821875,798.0
weighted avg,0.9825281073658464,0.9824561403508771,0.9824671052631578,798.0
