,precision,recall,f1-score,support
0,0.9939288811795317,0.9997818974918211,0.9968467978688703,4585.0
1,0.9997642621404997,0.9934410869055985,0.9965926448125954,4269.0
accuracy,0.9967246442285972,0.9967246442285972,0.9967246442285972,0.9967246442285972
macro avg,0.9968465716600157,0.9966114921987098,0.9967197213407328,8854.0
weighted avg,0.9967424390429125,0.9967246442285972,0.996724256712643,8854.0
