loss,accuracy,val_loss,val_accuracy
0.15723304450511932,0.9360807538032532,0.0719689428806305,0.9754647016525269
0.036144256591796875,0.9882254004478455,0.04633229225873947,0.9883519411087036
0.016475515440106392,0.9951339364051819,0.04024435207247734,0.9883519411087036
0.00875156745314598,0.9971164464950562,0.03937501460313797,0.9873605966567993
0.00789908692240715,0.9972966313362122,0.05600985139608383,0.9876084327697754
0.006103471852838993,0.9981377124786377,0.0444919690489769,0.9866170883178711
0.005908642429858446,0.9980776309967041,0.044494811445474625,0.9893432259559631
0.0036549577489495277,0.9987384080886841,0.04940614104270935,0.9888476133346558
0.003817584365606308,0.9989787340164185,0.05156325921416283,0.986121416091919
0.0028403818141669035,0.9992190599441528,0.05609472841024399,0.9876084327697754
